"#","Reference","Qty","Value","Footprint","DNP"
"1","BZ1","1","Buzzer","Buzzer_Beeper:Buzzer_12x9.5RM7.6",""
"2","C1, C2, C3, C4, C5, C6, C7, C8, C9, C10, C11, C12","12","16pF","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",""
"3","Door1, J11, J12, Window1, Window2","5","Conn_01x02_Socket","Connector_PinSocket_2.54mm:PinSocket_1x02_P2.54mm_Vertical",""
"4","door_1, LED_lum1, LED_mtr1, Window_1, Window_2","5","LED","LED_SMD:LED_0805_2012Metric",""
"5","ESP32","1","~","JP_Library:MODULE_ESP32-DEVKITC-32U",""
"6","J1, J2, J3, J4, J5, Jmaster1","6","AVR-ISP-6","JP_Library:SPI_prog",""
"7","J6, J7","2","Conn_01x19_Pin","Connector_PinHeader_2.54mm:PinHeader_1x19_P2.54mm_Vertical",""
"8","J10","1","Conn_01x13_Pin","Connector_PinHeader_2.54mm:PinHeader_1x13_P2.54mm_Vertical",""
"9","J13, J14","2","Conn_01x08_Socket","Connector_PinHeader_2.54mm:PinHeader_1x08_P2.54mm_Vertical",""
"10","J_SPI_3, J_SPI_4, J_SPI_5","3","SPI_SOCKET","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical",""
"11","J_U1A1, J_U1B1, J_U2A1, J_U2B1, J_U6","5","Conn_01x04_Socket","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical",""
"12","LT1, U1, U2, U3, U4, U5","6","ATmega8A-A","Package_QFP:TQFP-32_7x7mm_P0.8mm",""
"13","LT_XT1","1","Conn_01x09","JP_Library:XT_9",""
"14","Q1, Q2","2","NMOS","Package_TO_SOT_THT:TO-220-3_Vertical",""
"15","R1, R19","2","200R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"16","R2, R18","2","1K","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"17","R3, R4, R5, R6, R7, R8, R9, R10, R11, R12, R13, R14","12","10k","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"18","R15, R17, R23, R32, R33","5","220","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"19","R29, R30, R31","3","10K","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"20","SW1, SW2, SW_U3, SW_U4, SW_U5","5","SW_SPDT","JP_Library:BSI-10",""
"21","U1_XT1","1","Conn_01x09","JP_Library:XT_13",""
"22","U2_XT1","1","Conn_01x09","JP_Library:XT_15",""
"23","U3_PW1, U4_PW1, U5_PW1","3","Conn_01x03_MountingPin","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical",""
"24","U3_XT_L1, U3_XT_R1, U4_XT_L1, U4_XT_R1","4","Conn_01x08","JP_Library:XT_8",""
"25","U5_XT1","1","Conn_01x14","JP_Library:XT_14",""
"26","U6, U7","2","4021","Package_DIP:DIP-16_W7.62mm_LongPads",""
"27","U8","1","DS1621","Package_DIP:DIP-8_W7.62mm",""
"28","Y1, Y2, Y_LT1, Y_U3, Y_U4, Y_U5","6","Crystal","JP_Library:Crystal 49SS-SMD",""
