Designator,Mid X,Mid Y,Rotation,Layer
_2,81.63,13.259,0.0,top
,74.518,30.912,0.0,top
BZ1,67.433,82.8296,0.0,top
C1,14.835,6.2955,270.0,bottom
C10,17.883,48.7428,90.0,bottom
C11,2.3675,74.854,0.0,bottom
C12,20.9095,76.886,180.0,bottom
C2,14.835,10.1055,90.0,bottom
C3,2.897,35.3948,0.0,bottom
C4,21.2065,33.15,180.0,bottom
C5,67.0555,75.87,180.0,bottom
C6,73.935,75.87,0.0,bottom
C7,16.867,90.348,90.0,bottom
C8,16.867,85.014,270.0,bottom
C9,5.4155,43.866,0.0,bottom
Door1,35.135,54.1534,270.0,top
ESP32,78.081,23.556,0.0,top
J1,12.2442,66.5736,0.0,top
J10,94.435,59.614,180.0,top
J11,32.247,13.3434,90.0,top
J12,33.0722,35.5726,90.0,top
J13,31.2771,87.3,90.0,top
J14,31.2771,91.745,90.0,top
J2,12.93,50.6302,0.0,top
J3,13.565,30.01,0.0,top
J4,48.109,3.226,0.0,top
J5,72.747,54.95,0.0,top
J6,94.083,46.406,0.0,top
J7,62.079,46.406,0.0,top
J_SPI_3,45.569,35.852,0.0,top
J_SPI_4,46.077,15.926,0.0,top
J_SPI_5,76.557,96.2408,270.0,top
J_U1A1,47.2176,73.2884,0.0,top
J_U1B1,40.9462,73.2692,0.0,top
J_U2A1,47.0006,55.2296,0.0,top
J_U2B1,39.5746,55.1436,0.0,top
J_U6,72.613,23.8,0.0,top
Jmaster1,7.215,83.998,0.0,top
LED_lum1,2.5691,25.184,180.0,bottom
LED_mtr1,2.7091,4.6566,180.0,bottom
LT1,23.5891,89.772,0.0,top
LT_XT1,27.027,80.442,0.0,top
Q1,33.263,2.6956,0.0,top
Q2,34.139,24.7268,0.0,top
R1,26.3702,14.461,0.0,bottom
R10,90.935,69.68,180.0,bottom
R11,90.935,87.4982,180.0,bottom
R12,90.935,72.2255,180.0,bottom
R13,90.935,90.0436,180.0,bottom
R14,90.935,74.7709,180.0,bottom
R15,37.4062,75.1588,0.0,bottom
R17,33.7486,51.232,0.0,bottom
R18,23.435,30.15,270.0,bottom
R19,26.385,30.15,270.0,bottom
R2,26.3702,11.511,0.0,bottom
R23,37.4062,64.5924,0.0,bottom
R29,32.631,69.774,0.0,bottom
R3,90.935,77.3164,180.0,bottom
R30,37.0506,69.774,180.0,bottom
R31,33.6978,56.9724,0.0,bottom
R32,7.1491,25.139,180.0,bottom
R33,6.7962,4.6566,180.0,bottom
R4,90.935,62.0436,180.0,bottom
R5,90.935,79.8618,180.0,bottom
R6,90.935,64.5891,180.0,bottom
R7,90.935,82.4073,180.0,bottom
R8,90.935,67.1345,180.0,bottom
R9,90.935,84.9527,180.0,bottom
SW1,12.9046,70.9424,0.0,top
SW2,13.7174,55.9056,0.0,top
SW_U3,36.679,29.8068,0.0,top
SW_U4,35.803,7.8062,0.0,top
SW_U5,71.395,60.18,180.0,top
U1,24.303,70.35,0.0,top
U1_XT1hjk,14.327,60.376,0.0,top
U2,24.555,50.3602,0.0,top
U2_XT1,47.601,41.834,180.0,top
U3,24.555,30.84,0.0,top
U3_PW1,41.935,35.857,0.0,top
U3_XT_L1,13.565,39.04,0.0,top
U3_XT_R1,13.819,19.99,0.0,top
U4,24.24,9.6544,0.0,top
U4_PW1,42.267,15.941,0.0,top
U4_XT_L1,5.691,0.178,0.0,top
U4_XT_R1,22.709,17.45,0.0,top
U5,71.685,69.18,0.0,top
U5_PW1,71.985,92.634,270.0,top
U5_XT1,60.555,90.094,270.0,top
U6,87.4282,77.5972,180.0,top
U7,87.4282,54.7372,180.0,top
U8,76.677,26.086,0.0,top
Window1,34.393,72.949,270.0,top
Window2,34.647,66.472,270.0,top
Window_1,37.695,72.822,270.0,top
Window_2,37.695,66.5505,270.0,top
Y1,12.477,74.854,0.0,bottom
Y2,13.311,45.898,0.0,bottom
Y_LT1,13.311,88.3199,90.0,bottom
Y_U3,13.637,35.344,0.0,bottom
Y_U4,11.025,10.774,270.0,bottom
Y_U5,70.6115,79.426,0.0,bottom
door_1,34.1667,51.2828,0.0,top
